block,trial,label,congruence,correct,rt
1,1,Ich,True,True,0.681989543664
1,2,Stuhl,False,True,0.616305592601
1,3,Stuhl,True,True,0.788640599087
1,4,Stuhl,True,True,0.769345208813
1,5,Ich,True,True,0.608238834859
1,6,Ich,False,True,0.654193781782
1,7,Stuhl,True,True,0.675256554881
1,8,Ich,False,False,0.779110929027
1,9,Stuhl,True,True,0.693771098056
1,10,Ich,False,True,0.773560756832
2,1,Stuhl,True,True,0.611605543076
2,2,Stuhl,True,True,0.579722521332
2,3,Stuhl,False,True,0.886203295639
2,4,Stuhl,False,True,0.678347443594
2,5,Stuhl,True,True,0.681649580118
2,6,Ich,False,True,0.809050813215
2,7,Stuhl,False,False,0.60557172462
2,8,Stuhl,False,True,0.943618221369
2,9,Ich,True,True,0.884114764849
2,10,Ich,True,True,0.721318836208
3,1,Stuhl,False,True,0.723215790043
3,2,Ich,False,True,1.28218770606
3,3,Stuhl,True,True,1.37824472756
3,4,Ich,True,True,0.602393172332
3,5,Stuhl,False,True,0.755562359584
3,6,Stuhl,False,True,0.79787135779
3,7,Stuhl,False,True,0.577594221206
3,8,Ich,False,True,1.03110474042
3,9,Ich,True,False,1.02545792449
3,10,Stuhl,False,True,0.613324176418
4,1,Ich,True,True,0.82007076373
4,2,Stuhl,False,True,0.719613886933
4,3,Stuhl,True,True,0.955300993897
4,4,Stuhl,True,True,0.944627848949
4,5,Ich,True,True,0.736644136414
4,6,Stuhl,True,True,0.886489378172
4,7,Ich,True,True,0.737830801634
4,8,Stuhl,True,True,0.665196627218
4,9,Ich,False,True,1.02298709507
4,10,Stuhl,True,True,0.852367728512
